         547901 function calls (544481 primitive calls) in 33.652 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.000    0.000    0.136    0.010 __init__.py:687(add_entry)
        7    0.000    0.000    0.000    0.000 __init__.py:745(__iter__)
       12    0.000    0.000    0.000    0.000 __init__.py:762(add)
        1    0.000    0.000    0.000    0.000 __init__.py:8(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:90(PEP440Warning)
        1    0.000    0.000    0.000    0.000 __init__.py:97(_SetuptoolsVersionMixin)
        1    0.000    0.000    0.000    0.000 __init__.py:974(subscribe)
        6    0.000    0.000    0.000    0.000 __init__.py:988(_added_new)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:252(__subclasshook__)
        7    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:816(clear)
        1    0.000    0.000    0.000    0.000 _compat.py:20(with_metaclass)
        1    0.000    0.000    0.000    0.000 _compat.py:27(metaclass)
        1    0.000    0.000    0.000    0.000 _compat.py:28(__new__)
        1    0.000    0.000    0.000    0.000 _compat.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:203(AddrlistClass)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:495(AddressList)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:7(<module>)
       10    0.000    0.000    0.000    0.000 _policybase.py:104(<genexpr>)
        1    0.000    0.000    0.000    0.000 _policybase.py:112(Policy)
        1    0.000    0.000    0.000    0.000 _policybase.py:18(_PolicyBase)
        1    0.000    0.000    0.000    0.000 _policybase.py:271(Compat32)
        1    0.000    0.000    0.013    0.013 _policybase.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _policybase.py:41(__init__)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
       56    0.000    0.000    0.000    0.000 _structures.py:33(__neg__)
        1    0.000    0.000    0.000    0.000 _structures.py:39(NegativeInfinity)
        1    0.000    0.000    0.000    0.000 _structures.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _structures.py:7(Infinity)
       29    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       29    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       29    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       76    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       29    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       53    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
      175    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
       42    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        1    0.000    0.000    0.003    0.003 abc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 abc.py:123(Loader)
       19    0.000    0.000    0.002    0.000 abc.py:132(__new__)
       19    0.000    0.000    0.000    0.000 abc.py:135(<setcomp>)
       23    0.000    0.000    0.001    0.000 abc.py:151(register)
